VC8RXUKPQB42NMCF,JRTCKXETXF,VC8RXUKPQB42NMCF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.17 per Dedicated Usage RHEL c4.large Instance Hour,01/08/2018,0,Inf,Hrs,0.17,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c4.large,Yes,Compute optimized,2,Intel Xeon E5-2666 v3 (Haswell),2.9 GHz,3.75 GiB,EBS only,Moderate,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c4.large,RunInstances:0010,Used,500 Mbps,8,,Yes,,,,,,,,,,,,,,,,,,,,4,,NA,Intel AVX; Intel AVX2; Intel Turbo,Amazon Elastic Compute Cloud
F2Q73ZKZWDKZ25TB,JRTCKXETXF,F2Q73ZKZWDKZ25TB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.279 per Dedicated Usage RHEL c4.xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.279,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c4.xlarge,Yes,Compute optimized,4,Intel Xeon E5-2666 v3 (Haswell),2.9 GHz,7.5 GiB,EBS only,High,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c4.xlarge,RunInstances:0010,Used,750 Mbps,16,,Yes,,,,,,,,,,,,,,,,,,,,8,,NA,Intel AVX; Intel AVX2; Intel Turbo,Amazon Elastic Compute Cloud
9VRMFY5RW5MYMD9F,JRTCKXETXF,9VRMFY5RW5MYMD9F.JRTCKXETXF.6YS6EN2CT7,OnDemand,$3.19 per Dedicated RHEL c5.18xlarge Instance Hour,01/08/2018,0,Inf,Hrs,3.19,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c5.18xlarge,Yes,Compute optimized,72,Intel Xeon Platinum 8124M,3.0 Ghz,144 GiB,EBS only,25 Gigabit,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c5.18xlarge,RunInstances:0010,Used,9000 Mbps,281,,Yes,,,,,,,,,,,,,,,,,,,,144,,NA,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",Amazon Elastic Compute Cloud
MGFVS9REN5EG5F65,JRTCKXETXF,MGFVS9REN5EG5F65.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.49 per Dedicated RHEL c5.2xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.49,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c5.2xlarge,Yes,Compute optimized,8,Intel Xeon Platinum 8124M,3.0 Ghz,16 GiB,EBS only,Up to 10 Gigabit,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c5.2xlarge,RunInstances:0010,Used,Upto 2250 Mbps,34,,Yes,,,,,,,,,,,,,,,,,,,,16,,NA,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",Amazon Elastic Compute Cloud
VEYRGRFZB8WFUBH3,JRTCKXETXF,VEYRGRFZB8WFUBH3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.851 per Dedicated RHEL c5.4xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.851,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c5.4xlarge,Yes,Compute optimized,16,Intel Xeon Platinum 8124M,3.0 Ghz,32 GiB,EBS only,Up to 10 Gigabit,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c5.4xlarge,RunInstances:0010,Used,Upto 2250 Mbps,68,,Yes,,,,,,,,,,,,,,,,,,,,32,,NA,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",Amazon Elastic Compute Cloud
HYZTQKMNAKH6FG9C,JRTCKXETXF,HYZTQKMNAKH6FG9C.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.752 per Dedicated RHEL c5.9xlarge Instance Hour,01/08/2018,0,Inf,Hrs,1.752,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c5.9xlarge,Yes,Compute optimized,36,Intel Xeon Platinum 8124M,3.0 Ghz,72 GiB,EBS only,10 Gigabit,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c5.9xlarge,RunInstances:0010,Used,4500 Mbps,141,,Yes,,,,,,,,,,,,,,,,,,,,72,,NA,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",Amazon Elastic Compute Cloud
QUKA5FNRVVKN5422,JRTCKXETXF,QUKA5FNRVVKN5422.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.15 per Dedicated RHEL c5.large Instance Hour,01/08/2018,0,Inf,Hrs,0.15,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c5.large,Yes,Compute optimized,2,Intel Xeon Platinum 8124M,3.0 Ghz,4 GiB,EBS only,Up to 10 Gigabit,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c5.large,RunInstances:0010,Used,Upto 2250 Mbps,9,,Yes,,,,,,,,,,,,,,,,,,,,4,,NA,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",Amazon Elastic Compute Cloud
WEJJ8BVQUW2CFG55,JRTCKXETXF,WEJJ8BVQUW2CFG55.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.24 per Dedicated RHEL c5.xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.24,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c5.xlarge,Yes,Compute optimized,4,Intel Xeon Platinum 8124M,3.0 Ghz,8 GiB,EBS only,Up to 10 Gigabit,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c5.xlarge,RunInstances:0010,Used,Upto 2250 Mbps,17,,Yes,,,,,,,,,,,,,,,,,,,,8,,NA,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",Amazon Elastic Compute Cloud
GH5AKWMDRVHKHX9H,JRTCKXETXF,GH5AKWMDRVHKHX9H.JRTCKXETXF.6YS6EN2CT7,OnDemand,$3.586 per Dedicated RHEL c5d.18xlarge Instance Hour,01/08/2018,0,Inf,Hrs,3.586,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c5d.18xlarge,Yes,Compute optimized,72,Intel Xeon Platinum 8124M,3.0 Ghz,144 GiB,1 x 1800 NVMe SSD,25 Gigabit,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c5d.18xlarge,RunInstances:0010,Used,9000 Mbps,281,,Yes,,,,,,,,,,,,,,,,,,,,144,,NA,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",Amazon Elastic Compute Cloud
MD7G399MF4MM3EDE,JRTCKXETXF,MD7G399MF4MM3EDE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.537 per Dedicated RHEL c5d.2xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.537,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c5d.2xlarge,Yes,Compute optimized,8,Intel Xeon Platinum 8124M,3.0 Ghz,16 GiB,1 x 200 NVMe SSD,Up to 10 Gigabit,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c5d.2xlarge,RunInstances:0010,Used,Upto 2250 Mbps,34,,Yes,,,,,,,,,,,,,,,,,,,,16,,NA,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",Amazon Elastic Compute Cloud
